Fecha,Aceites lubricantes,Asfalto ,Bunker,Ceras,Combustible turbo jet,Diesel bajo azufre,Diesel ultra bajo azufre,Gas licuado petroleo,Gasolina aviacion,Gasolina regular,Gasolina superior,Grasas lubricantes,Kerosina,Mezclas oleosas,Naftas,Petcoke,Petroleo crudo,Solventes,Butano,Diesel alto azufre,MTBE,Orimulsion,Petroleo reconstituido,Total,Anio
2002-10-01,0.0,2158.97,343702.0,0.0,0.0,0.0,0.0,210871.19047619,2400.0,195426.8,352055.5,0.0,63543.82,0.0,0.0,0.0,0.0,0.0,0.0,703749.81,0.0,0.0,0.0,1873908.09047619,2002
2002-11-01,0.0,1707.57,508787.0,0.0,0.0,0.0,0.0,227595.857142857,582.0,153185.7,291188.76,0.0,33324.44,0.0,0.0,0.0,0.0,0.0,0.0,573289.5,0.0,0.0,0.0,1789660.82714286,2002
2002-12-01,0.0,1462.84,561334.63,0.0,0.0,0.0,0.0,192272.023809524,3379.0,167596.71,440677.81,0.0,47548.06,0.0,0.0,0.0,0.0,0.0,0.0,678749.64,0.0,0.0,0.0,2093020.71380952,2002
2003-01-01,0.0,2225.46,433367.1,0.0,0.0,0.0,0.0,237532.261904762,720.0,228269.5,425185.5,0.0,48243.38,0.0,0.0,0.0,0.0,0.0,0.0,797344.38,0.0,0.0,0.0,2172887.58190476,2003
2003-02-01,0.0,2497.86,333362.76,0.0,0.0,0.0,0.0,169819.0,254.0,214490.7,443849.85,0.0,74118.22,0.0,0.0,0.0,0.0,0.0,0.0,765912.66,0.0,0.0,0.0,2004305.05,2003
2003-03-01,0.0,5342.26,555012.3,0.0,0.0,0.0,0.0,221030.857142857,1203.0,161257.48,363352.66,0.0,20757.68,0.0,0.0,0.0,0.0,0.0,0.0,693942.31,0.0,0.0,0.0,2021898.54714286,2003
2003-04-01,0.0,5453.73,470787.51,0.0,0.0,0.0,0.0,192170.142857143,3520.0,189824.893,335444.69,0.0,71377.38,0.0,0.0,0.0,0.0,0.0,0.0,873103.096,0.0,0.0,0.0,2141681.44185714,2003
2003-05-01,0.0,10331.91,512728.76,0.0,0.0,0.0,0.0,185016.666666667,0.0,269981.86,459025.69,0.0,43468.04,0.0,0.0,0.0,0.0,0.0,0.0,625190.08,0.0,0.0,0.0,2105743.00666667,2003
2003-06-01,0.0,3188.55,334426.35,0.0,0.0,0.0,0.0,231805.033095238,3137.0,182254.23,372486.53,0.0,75168.64,0.0,0.0,0.0,0.0,0.0,0.0,671882.83,0.0,0.0,0.0,1874349.16309524,2003
2003-07-01,0.0,5942.79,475755.86,0.0,0.0,0.0,0.0,216504.928571429,906.0,133668.2,400922.97,0.0,29429.84,0.0,0.0,0.0,0.0,0.0,0.0,822014.55,0.0,0.0,0.0,2085145.13857143,2003
2003-08-01,0.0,7034.51,518231.66,0.0,0.0,0.0,0.0,209952.380952381,48.0,169903.86,292365.04,0.0,55600.7,0.0,0.0,0.0,0.0,0.0,0.0,494087.13,0.0,0.0,0.0,1747223.28095238,2003
2003-09-01,0.0,5189.42,360969.08,0.0,0.0,0.0,0.0,231499.19047619,0.0,177217.53,398192.16,0.0,66626.7,0.0,0.0,0.0,0.0,0.0,0.0,614913.68,0.0,0.0,0.0,1854607.76047619,2003
2003-10-01,0.0,7645.76,536918.24,0.0,0.0,0.0,0.0,216302.80952381,2719.0,181668.026,260219.92,0.0,61154.5,0.0,0.0,0.0,0.0,0.0,0.0,433084.99,0.0,0.0,0.0,1699713.24552381,2003
2003-11-01,0.0,6163.71,717557.85,0.0,0.0,0.0,0.0,232526.976190476,0.0,205624.08,393951.96,0.0,50841.7,0.0,0.0,0.0,0.0,0.0,0.0,627189.78,0.0,0.0,0.0,2233856.05619048,2003
2003-12-01,0.0,8962.13,286775.5,0.0,0.0,0.0,0.0,214489.857142857,2649.0,161477.73,296780.15,0.0,67894.9,0.0,0.0,0.0,0.0,0.0,0.0,745524.88,0.0,0.0,0.0,1784554.14714286,2003
2004-01-01,0.0,8309.85,475730.96,0.0,0.0,0.0,0.0,251271.547619048,0.0,173427.23,368235.14,0.0,59343.1,0.0,0.0,155510.025,0.0,0.0,0.0,762385.45,0.0,0.0,0.0,2254213.30261905,2004
2004-02-01,0.0,10379.19,348162.02,0.0,0.0,0.0,0.0,197730.285714286,0.0,147939.23,281891.97,0.0,49226.2,0.0,0.0,0.0,0.0,0.0,0.0,460947.5,0.0,249982.7,0.0,1746259.09571429,2004
2004-03-01,0.0,12318.35,474292.6,0.0,0.0,0.0,0.0,253366.119047619,2300.0,275539.38,486880.82,0.0,47021.8,0.0,0.0,144859.0,0.0,0.0,0.0,772128.26,0.0,0.0,0.0,2468706.32904762,2004
2004-04-01,0.0,14014.84,415311.51,0.0,0.0,0.0,0.0,206671.880952381,2920.0,245156.34,415426.0,0.0,58717.9,0.0,0.0,0.0,0.0,0.0,0.0,809194.95,0.0,311711.21,0.0,2479124.63095238,2004
2004-05-01,0.0,13384.38,238958.31,0.0,0.0,0.0,0.0,202368.214285714,0.0,178387.8,350052.95,0.0,71209.2,0.0,0.0,137087.5,0.0,0.0,0.0,634209.64,0.0,0.0,0.0,1825657.99428571,2004
2004-06-01,0.0,15485.81,533789.63,0.0,0.0,0.0,0.0,231850.333333333,0.0,133341.0,311238.01,0.0,90154.8,0.0,0.0,0.0,0.0,0.0,0.0,461381.79,0.0,311270.32,0.0,2088511.69333333,2004
2004-07-01,0.0,14504.73,108059.0,0.0,0.0,0.0,0.0,220449.261904762,257.0,152075.75,249710.687,0.0,13662.0,0.0,0.0,155914.0,0.0,0.0,0.0,467154.31,0.0,0.0,0.0,1381786.73890476,2004
2004-08-01,0.0,13756.04,315109.0,0.0,0.0,0.0,0.0,215881.071428571,3375.0,208592.85,434578.12,0.0,79589.7,0.0,0.0,0.0,0.0,0.0,0.0,669462.53,0.0,315915.92,0.0,2256260.23142857,2004
2004-09-01,0.0,14546.91,434142.76,0.0,0.0,0.0,0.0,252058.261904762,0.0,218499.24,420550.29,0.0,69168.5,0.0,0.0,146223.0,0.0,0.0,0.0,714039.85,0.0,0.0,0.0,2269228.81190476,2004
2004-10-01,0.0,11315.28,411472.34,0.0,0.0,0.0,0.0,208715.476190476,697.0,201907.67,366886.3,0.0,82916.5,0.0,0.0,0.0,0.0,0.0,0.0,655715.05,0.0,313440.96,0.0,2253066.57619048,2004
2004-11-01,0.0,2029.03,293179.62,0.0,0.0,0.0,0.0,195645.452380952,1647.0,215838.32,434710.94,0.0,49233.0,0.0,0.0,152894.5,0.0,0.0,0.0,726697.88,0.0,318754.0,0.0,2390629.74238095,2004
2004-12-01,0.0,2090.04,243611.33,0.0,0.0,0.0,0.0,278688.523809524,1396.0,227094.71,433149.96,0.0,59035.3,0.0,0.0,0.0,0.0,0.0,0.0,781266.61,0.0,0.0,0.0,2026332.47380952,2004
2005-01-01,0.0,10798.98,318657.9,0.0,0.0,0.0,0.0,226452.50001,3105.0,202374.33,257867.99,0.0,33986.0,0.0,0.0,141267.5,0.0,0.0,0.0,663058.79,0.0,338810.04,0.0,2196379.03001,2005
2005-02-01,0.0,13495.3,303067.68,0.0,0.0,0.0,0.0,179212.81052381,0.0,178104.72,306660.39,0.0,62584.2,0.0,0.0,0.0,0.0,0.0,0.0,683664.39,0.0,0.0,0.0,1726789.49052381,2005
2005-03-01,0.0,17405.13,436935.02,0.0,0.0,0.0,0.0,271163.048619048,3100.0,217667.69,431907.81,0.0,70706.0,0.0,0.0,147361.5,0.0,0.0,0.0,778645.07,0.0,0.0,0.0,2374891.26861905,2005
2005-04-01,0.0,13520.46,339926.16,0.0,0.0,0.0,0.0,187599.952380952,0.0,234492.03,534151.81,0.0,48655.1,0.0,0.0,137890.5,0.0,0.0,0.0,708164.74,0.0,316798.0,0.0,2521198.75238095,2005
2005-05-01,0.0,16284.91,572328.31,0.0,0.0,0.0,0.0,243625.261904762,3365.0,192734.4,378616.3,0.0,61188.2,0.0,0.0,134700.5,0.0,0.0,0.0,875087.62,0.0,344685.0,0.0,2822615.50190476,2005
2005-06-01,0.0,16063.2,471302.18,0.0,0.0,0.0,0.0,256001.380952381,609.0,243343.68,537398.43,0.0,35505.9,0.0,0.0,0.0,0.0,0.0,0.0,1041016.72,0.0,0.0,0.0,2601240.49095238,2005
2005-07-01,0.0,10382.08,447607.75,0.0,0.0,0.0,0.0,351089.642857143,673.0,175946.3,363410.9,0.0,57335.2,0.0,0.0,147994.0,0.0,0.0,0.0,770731.74,0.0,312030.0,0.0,2637200.61285714,2005
2005-08-01,0.0,13408.17,201638.98,0.0,0.0,0.0,0.0,115098.571428571,0.0,173810.38,566618.55,0.0,24343.0,0.0,0.0,0.0,0.0,0.0,0.0,815435.2,0.0,0.0,0.0,1910352.85142857,2005
2005-09-01,0.0,19894.97,184318.28,0.0,0.0,0.0,0.0,461957.152380952,177.0,81015.3,193484.5,0.0,65426.3,0.0,0.0,147735.5,0.0,0.0,0.0,229764.74,0.0,329946.0,0.0,1713719.74238095,2005
2005-10-01,0.0,4807.49,280596.41,0.0,0.0,0.0,0.0,456714.285714286,2884.0,145325.65,528877.09,0.0,64975.7,0.0,0.0,0.0,0.0,0.0,0.0,671848.94,0.0,0.0,0.0,2156029.56571429,2005
